Name	Population Density	Housing Density
Census Tract 4271	280.85	677.32
Census Tract 4272	320.25	783.64
Census Tract 4273	412.05	916.96
Census Tract 4274	1466.18	3148.64
Census Tract 4275	12162.13	16206.26
Census Tract 4276	115.47	332.27
Census Tract 4277	197.67	400.49
Census Tract 4278	178.77	395.18
Census Tract 4279	190.23	393.13
Census Tract 4280	186.69	385.20
Census Tract 4281	220.89	480.06
Census Tract 4282	224.95	500.88
Census Tract 4283.01	697.46	1740.73
Census Tract 4283.02	294.81	809.36
Census Tract 4284	182.56	406.33
Census Tract 4285	208.21	440.46
Census Tract 4286	265.02	550.02
Census Tract 4233	205.33	450.70
Census Tract 4234	158.72	352.34
Census Tract 4235	208.51	435.06
Census Tract 4236.01	192.40	397.15
Census Tract 4238	338.23	759.74
Census Tract 4239.01	193.30	421.78
Census Tract 4239.02	216.99	424.42
Census Tract 4240.01	127.72	313.62
Census Tract 4240.02	161.58	381.16
Census Tract 4237 (part)	0.00	0.00
Census Tract 4301 (part)	14835.14	34615.33
Census Tract 4321	292.44	720.03
Census Tract 4322	257.92	607.25
Census Tract 4323	314.43	755.45
Census Tract 4324	1137.43	3337.64
Census Tract 4325	251.09	754.56
Census Tract 4326	262.59	580.21
Census Tract 4327	338.94	759.23
Census Tract 4330	383.96	880.50
Census Tract 4331.01	248.11	525.59
Census Tract 4251	458.72	738.63
Census Tract 4001	2721.86	5776.72
Census Tract 4002	345.35	755.57
Census Tract 4003	220.30	418.64
Census Tract 4004	190.23	370.24
Census Tract 4005	169.02	362.02
Census Tract 4006	184.71	422.65
Census Tract 4007	191.62	448.65
Census Tract 4008	215.74	511.69
Census Tract 4009	175.58	386.41
Census Tract 4010	204.35	471.38
Census Tract 4011	219.73	431.80
Census Tract 4012	271.65	534.08
Census Tract 4013	298.65	577.17
Census Tract 4014	158.47	449.20
Census Tract 4015	194.15	456.62
Census Tract 4016	327.66	948.15
Census Tract 4017	3138.34	9137.69
Census Tract 4018	154.41	399.95
Census Tract 4019	5836.80	18156.29
Census Tract 4020	40318.82	94077.25
Census Tract 4021	236.40	383.85
Census Tract 4022	148.17	416.49
Census Tract 4023	928.57	2349.96
Census Tract 4024	125.77	285.27
Census Tract 4025	207.46	519.09
Census Tract 4026	297.73	574.86
Census Tract 4027	189.96	518.47
Census Tract 4028	198.54	279.66
Census Tract 4029	299.50	419.82
Census Tract 4030	122.90	216.63
Census Tract 4031	210.00	720.55
Census Tract 4032	8152.37	10927.64
Census Tract 4033	393.49	949.81
Census Tract 4034	181.50	266.48
Census Tract 4035	131.55	219.69
Census Tract 4036	87.60	144.30
Census Tract 4037	79.36	111.98
Census Tract 4038	199.37	353.95
Census Tract 4039	133.51	224.43
Census Tract 4040	127.31	200.48
Census Tract 4041	150.37	231.01
Census Tract 4042	862.45	1993.55
Census Tract 4043	591.88	1368.50
Census Tract 4044	870.41	1890.92
Census Tract 4045.01	694.16	1596.06
Census Tract 4045.02	564.62	1285.85
Census Tract 4046	1154.90	2784.20
Census Tract 4047	646.94	1540.97
Census Tract 4048	230.35	485.88
Census Tract 4049	241.37	519.73
Census Tract 4050	264.13	527.60
Census Tract 4051	297.23	766.29
Census Tract 4052	191.60	372.10
Census Tract 4053	70.90	131.19
Census Tract 4054	81.55	234.87
Census Tract 4055	101.16	258.49
Census Tract 4056	113.77	286.26
Census Tract 4057	144.55	389.02
Census Tract 4058	108.28	381.18
Census Tract 4059	117.67	435.08
Census Tract 4060	592.62	1559.41
Census Tract 4061	434.20	1469.32
Census Tract 4062.01	69.44	273.15
Census Tract 4062.02	77.17	313.85
Census Tract 4063	108.01	382.88
Census Tract 4064	235.68	752.31
Census Tract 4065	118.33	382.60
Census Tract 4066	149.25	431.13
Census Tract 4067	322.94	764.05
Census Tract 4068	264.01	675.65
Census Tract 4069	238.85	586.80
Census Tract 4070	129.34	396.47
Census Tract 4071	123.60	428.70
Census Tract 4072	99.55	384.38
Census Tract 4073	935.46	3219.73
Census Tract 4074	124.22	445.14
Census Tract 4075	115.32	387.15
Census Tract 4076	158.21	480.69
Census Tract 4077	200.85	508.94
Census Tract 4078	489.09	1488.51
Census Tract 4079	439.46	1062.64
Census Tract 4080	775.88	2009.92
Census Tract 4081	1505.09	3557.83
Census Tract 4082	204.81	507.46
Census Tract 4083	317.02	851.37
Census Tract 4084	139.29	416.42
Census Tract 4085	160.88	522.85
Census Tract 4086	207.68	637.30
Census Tract 4087	151.74	472.09
Census Tract 4088	231.27	775.00
Census Tract 4089	243.57	787.30
Census Tract 4090 (part)	4910.59	16519.26
Census Tract 4091	226.44	755.86
Census Tract 4092	218.29	776.11
Census Tract 4093	195.44	698.81
Census Tract 4094	284.12	1129.15
Census Tract 4095	240.31	890.83
Census Tract 4096	143.89	486.30
Census Tract 4097	154.15	498.04
Census Tract 4098	543.59	1451.67
Census Tract 4099	1358.93	3295.14
Census Tract 4100 (part)	2313.02	5689.60
Census Tract 4101	289.31	824.41
Census Tract 4102	174.01	526.17
Census Tract 4103	153.97	557.30
Census Tract 4104	208.71	644.50
Census Tract 4261	482.08	1360.93
Census Tract 4262	293.89	839.74
Census Tract 4090 (part)	0.00	0.00
Census Tract 3522.02 (part)	1938.07	4277.13
Census Tract 3522.01 (part)	1250.25	3376.01
Census Tract 3522.02 (part)	2153.35	5948.19
Census Tract 3522.02 (part)	124966.56	260065.54
Census Tract 3530.01 (part)	5536442.00	2768221.00
